"ID_S";"ID";"TIPO";"COSTO"
"O.E.08.L";"E08.L";"C";"1491.337000"
"O.E.08.L.1";"E08.L1";"R";"1491.337000"
"O.E.08.N";"E08.N";"C";"768.547998"
"O.E.08.N.1";"E08.N1";"R";"768.547998"
"O.E.08.N.1.C";"E08.N1.C";"C";"768.547998"
"O.E.08.N.1.C.1";"E08.N1.C1";"H";"128.091333"
"O.E.08.N.1.C.2";"E08.N1.C2";"H";"128.091333"
"O.E.08.N.1.C.3";"E08.N1.C3";"H";"128.091333"
"O.E.08.N.1.C.4";"E08.N1.C4";"H";"128.091333"
"O.E.08.N.1.C.5";"E08.N1.C5";"H";"128.091333"
"O.E.08.N.1.C.6";"E08.N1.C6";"H";"128.091333"
"O.E.08.P";"E08.P";"C";"9746.397512"
"O.E.08.P.1";"E08.P1";"R";"2415.875663"
"O.E.08.P.1.D";"E08.P1.D";"C";"1470.059201"
"O.E.08.P.1.D.11";"E08.P1.D11";"H";"361.085608"
"O.E.08.P.1.D.12";"E08.P1.D12";"H";"361.085608"
"O.E.08.P.1.D.13";"E08.P1.D13";"H";"386.802377"
"O.E.08.P.1.D.14";"E08.P1.D14";"H";"361.085608"
"O.E.08.P.2";"E08.P2";"R";"2443.507283"
"O.E.08.P.2.D";"E08.P2.D";"C";"1444.342432"
"O.E.08.P.2.D.21";"E08.P2.D21";"H";"361.085608"
"O.E.08.P.2.D.22";"E08.P2.D22";"H";"361.085608"
"O.E.08.P.2.D.23";"E08.P2.D23";"H";"361.085608"
"O.E.08.P.2.D.24";"E08.P2.D24";"H";"361.085608"
"O.E.08.P.3";"E08.P3";"R";"2082.421675"
"O.E.08.P.3.D";"E08.P3.D";"C";"1083.256824"
"O.E.08.P.3.D.31";"E08.P3.D31";"H";"361.085608"
"O.E.08.P.3.D.32";"E08.P3.D32";"H";"361.085608"
"O.E.08.P.3.D.33";"E08.P3.D33";"H";"361.085608"
"O.E.08.P.4";"E08.P4";"H";"2804.592891"
"O.E.08.P.4.D";"E08.P4.D";"R";"1805.428040"
"O.E.08.P.4.D.34";"E08.P4.D34";"C";"361.085608"
"O.E.08.P.4.D.41";"E08.P4.D41";"H";"361.085608"
"O.E.08.P.4.D.42";"E08.P4.D42";"H";"361.085608"
"O.E.08.P.4.D.43";"E08.P4.D43";"H";"361.085608"
"O.E.08.P.4.D.44";"E08.P4.D44";"H";"361.085608"
"O.E.09";;;"12803.696510"
"O.E.09.L";"E09.L";"C";"1491.337000"
"O.E.09.L.1";"E09.L1";"R";"1491.337000"
"O.E.09.N";"E09.N";"C";"768.547998"
"O.E.09.N.1";"E09.N1";"R";"768.547998"
"O.E.09.N.1.C";"E09.N1.C";"C";"768.547998"
"O.E.09.N.1.C.1";"E09.N1.C1";"H";"128.091333"
"O.E.09.N.1.C.2";"E09.N1.C2";"H";"128.091333"
"O.E.09.N.1.C.3";"E09.N1.C3";"H";"128.091333"
"O.E.09.N.1.C.4";"E09.N1.C4";"H";"128.091333"
"O.E.09.N.1.C.5";"E09.N1.C5";"H";"128.091333"
"O.E.09.N.1.C.6";"E09.N1.C6";"H";"128.091333"
"O.E.09.P";"E09.P";"C";"9740.251512"
"O.E.09.P.1";"E09.P1";"R";"2409.729663"
"O.E.09.P.1.D";"E09.P1.D";"C";"1463.913201"
"O.E.09.P.1.D.11";"E09.P1.D11";"H";"361.085608"
"O.E.09.P.1.D.12";"E09.P1.D12";"H";"361.085608"
"O.E.09.P.1.D.13";"E09.P1.D13";"H";"380.656377"
"O.E.09.P.1.D.14";"E09.P1.D14";"H";"361.085608"
"O.E.09.P.2";"E09.P2";"R";"2443.507283"
"O.E.09.P.2.D";"E09.P2.D";"C";"1444.342432"
"O.E.09.P.2.D.21";"E09.P2.D21";"H";"361.085608"
"O.E.09.P.2.D.22";"E09.P2.D22";"H";"361.085608"
"O.E.09.P.2.D.23";"E09.P2.D23";"H";"361.085608"
"O.E.09.P.2.D.24";"E09.P2.D24";"H";"361.085608"
"O.E.09.P.3";"E09.P3";"R";"2082.421675"
"O.E.09.P.3.D";"E09.P3.D";"C";"1083.256824"
"O.E.09.P.3.D.31";"E09.P3.D31";"H";"361.085608"
"O.E.09.P.3.D.32";"E09.P3.D32";"H";"361.085608"
"O.E.09.P.3.D.33";"E09.P3.D33";"H";"361.085608"
"O.E.09.P.4";"E09.P4";"H";"2804.592891"
"O.E.09.P.4.D";"E09.P4.D";"R";"1805.428040"
"O.E.09.P.4.D.34";"E09.P4.D34";"C";"361.085608"
"O.E.09.P.4.D.41";"E09.P4.D41";"H";"361.085608"
"O.E.09.P.4.D.42";"E09.P4.D42";"H";"361.085608"
"O.E.09.P.4.D.43";"E09.P4.D43";"H";"361.085608"
"O.E.09.P.4.D.44";"E09.P4.D44";"H";"361.085608"
"O.E.10";;;"12809.842510"
"O.E.10.L";"E10.L";"C";"1491.337000"
"O.E.10.L.1";"E10.L1";"R";"1491.337000"
"O.E.10.N";"E10.N";"C";"768.547998"
"O.E.10.N.1";"E10.N1";"R";"768.547998"
"O.E.10.N.1.C";"E10.N1.C";"C";"768.547998"
"O.E.10.N.1.C.1";"E10.N1.C1";"H";"128.091333"
"O.E.10.N.1.C.2";"E10.N1.C2";"H";"128.091333"
"O.E.10.N.1.C.3";"E10.N1.C3";"H";"128.091333"
"O.E.10.N.1.C.4";"E10.N1.C4";"H";"128.091333"
"O.E.10.N.1.C.5";"E10.N1.C5";"H";"128.091333"
"O.E.10.N.1.C.6";"E10.N1.C6";"H";"128.091333"
"O.E.10.P";"E10.P";"C";"9746.397512"
"O.E.10.P.1";"E10.P1";"R";"2415.875663"
"O.E.10.P.1.D";"E10.P1.D";"C";"1470.059201"
"O.E.10.P.1.D.11";"E10.P1.D11";"H";"361.085608"
"O.E.10.P.1.D.12";"E10.P1.D12";"H";"361.085608"
"O.E.10.P.1.D.13";"E10.P1.D13";"H";"386.802377"
"O.E.10.P.1.D.14";"E10.P1.D14";"H";"361.085608"
"O.E.10.P.2";"E10.P2";"R";"2443.507283"
"O.E.10.P.2.D";"E10.P2.D";"C";"1444.342432"
"O.E.10.P.2.D.21";"E10.P2.D21";"H";"361.085608"
"O.E.10.P.2.D.22";"E10.P2.D22";"H";"361.085608"
"O.E.10.P.2.D.23";"E10.P2.D23";"H";"361.085608"
"O.E.10.P.2.D.24";"E10.P2.D24";"H";"361.085608"
"O.E.10.P.3";"E10.P3";"R";"2082.421675"
"O.E.10.P.3.D";"E10.P3.D";"C";"1083.256824"
"O.E.10.P.3.D.31";"E10.P3.D31";"H";"361.085608"
"O.E.10.P.3.D.32";"E10.P3.D32";"H";"361.085608"
"O.E.10.P.3.D.33";"E10.P3.D33";"H";"361.085608"
"O.E.10.P.4";"E10.P4";"H";"2804.592891"
"O.E.10.P.4.D";"E10.P4.D";"R";"1805.428040"
"O.E.10.P.4.D.34";"E10.P4.D34";"C";"361.085608"
"O.E.10.P.4.D.41";"E10.P4.D41";"H";"361.085608"
"O.E.10.P.4.D.42";"E10.P4.D42";"H";"361.085608"
"O.E.10.P.4.D.43";"E10.P4.D43";"H";"361.085608"
"O.E.10.P.4.D.44";"E10.P4.D44";"H";"361.085608"
"O.E.11";;;"12803.696510"
"O.E.11.L";"E11.L";"C";"1491.337000"
"O.E.11.L.1";"E11.L1";"R";"1491.337000"
"O.E.11.N";"E11.N";"C";"768.547998"
"O.E.11.N.1";"E11.N1";"R";"768.547998"
"O.E.11.N.1.C";"E11.N1.C";"C";"768.547998"
"O.E.11.N.1.C.1";"E11.N1.C1";"H";"128.091333"
"O.E.11.N.1.C.2";"E11.N1.C2";"H";"128.091333"
"O.E.11.N.1.C.3";"E11.N1.C3";"H";"128.091333"
"O.E.11.N.1.C.4";"E11.N1.C4";"H";"128.091333"
"O.E.11.N.1.C.5";"E11.N1.C5";"H";"128.091333"
"O.E.11.N.1.C.6";"E11.N1.C6";"H";"128.091333"
"O.E.11.P";"E11.P";"C";"9740.251512"
"O.E.11.P.1";"E11.P1";"R";"2409.729663"
"O.E.11.P.1.D";"E11.P1.D";"C";"1463.913201"
"O.E.11.P.1.D.11";"E11.P1.D11";"H";"361.085608"
"O.E.11.P.1.D.12";"E11.P1.D12";"H";"361.085608"
"O.E.11.P.1.D.13";"E11.P1.D13";"H";"380.656377"
"O.E.11.P.1.D.14";"E11.P1.D14";"H";"361.085608"
"O.E.11.P.2";"E11.P2";"R";"2443.507283"
"O.E.11.P.2.D";"E11.P2.D";"C";"1444.342432"
"O.E.11.P.2.D.21";"E11.P2.D21";"H";"361.085608"
"O.E.11.P.2.D.22";"E11.P2.D22";"H";"361.085608"
"O.E.11.P.2.D.23";"E11.P2.D23";"H";"361.085608"
"O.E.11.P.2.D.24";"E11.P2.D24";"H";"361.085608"
"O.E.11.P.3";"E11.P3";"R";"2082.421675"
"O.E.11.P.3.D";"E11.P3.D";"C";"1083.256824"
"O.E.11.P.3.D.31";"E11.P3.D31";"H";"361.085608"
"O.E.11.P.3.D.32";"E11.P3.D32";"H";"361.085608"
"O.E.11.P.3.D.33";"E11.P3.D33";"H";"361.085608"
"O.E.11.P.4";"E11.P4";"H";"2804.592891"
"O.E.11.P.4.D";"E11.P4.D";"R";"1805.428040"
"O.E.11.P.4.D.34";"E11.P4.D34";"C";"361.085608"
"O.E.11.P.4.D.41";"E11.P4.D41";"H";"361.085608"
"O.E.11.P.4.D.42";"E11.P4.D42";"H";"361.085608"
"O.E.11.P.4.D.43";"E11.P4.D43";"H";"361.085608"
"O.E.11.P.4.D.44";"E11.P4.D44";"H";"361.085608"
"O.E.12";;;"12803.696510"
"O.E.12.L";"E12.L";"C";"1491.337000"
"O.E.12.L.1";"E12.L1";"R";"1491.337000"
"O.E.12.N";"E12.N";"C";"768.547998"
"O.E.12.N.1";"E12.N1";"R";"768.547998"
"O.E.12.N.1.C";"E12.N1.C";"C";"768.547998"
"O.E.12.N.1.C.1";"E12.N1.C1";"H";"128.091333"
"O.E.12.N.1.C.2";"E12.N1.C2";"H";"128.091333"
"O.E.12.N.1.C.3";"E12.N1.C3";"H";"128.091333"
"O.E.12.N.1.C.4";"E12.N1.C4";"H";"128.091333"
"O.E.12.N.1.C.5";"E12.N1.C5";"H";"128.091333"
"O.E.12.N.1.C.6";"E12.N1.C6";"H";"128.091333"
"O.E.12.P";"E12.P";"C";"9740.251512"
"O.E.12.P.1";"E12.P1";"R";"2409.729663"
"O.E.12.P.1.D";"E12.P1.D";"C";"1463.913201"
"O.E.12.P.1.D.11";"E12.P1.D11";"H";"361.085608"
"O.E.12.P.1.D.12";"E12.P1.D12";"H";"361.085608"
"O.E.12.P.1.D.13";"E12.P1.D13";"H";"380.656377"
"O.E.12.P.1.D.14";"E12.P1.D14";"H";"361.085608"
"O.E.12.P.2";"E12.P2";"R";"2443.507283"
"O.E.12.P.2.D";"E12.P2.D";"C";"1444.342432"
"O.E.12.P.2.D.21";"E12.P2.D21";"H";"361.085608"
"O.E.12.P.2.D.22";"E12.P2.D22";"H";"361.085608"
"O.E.12.P.2.D.23";"E12.P2.D23";"H";"361.085608"
"O.E.12.P.2.D.24";"E12.P2.D24";"H";"361.085608"
"O.E.12.P.3";"E12.P3";"R";"2082.421675"
"O.E.12.P.3.D";"E12.P3.D";"C";"1083.256824"
"O.E.12.P.3.D.31";"E12.P3.D31";"H";"361.085608"
"O.E.12.P.3.D.32";"E12.P3.D32";"H";"361.085608"
"O.E.12.P.3.D.33";"E12.P3.D33";"H";"361.085608"
"O.E.12.P.4";"E12.P4";"H";"2804.592891"
"O.E.12.P.4.D";"E12.P4.D";"R";"1805.428040"
"O.E.12.P.4.D.34";"E12.P4.D34";"C";"361.085608"
"O.E.12.P.4.D.41";"E12.P4.D41";"H";"361.085608"
"O.E.12.P.4.D.42";"E12.P4.D42";"H";"361.085608"
"O.E.12.P.4.D.43";"E12.P4.D43";"H";"361.085608"
"O.E.12.P.4.D.44";"E12.P4.D44";"H";"361.085608"
"O.E.13";;;"12803.696510"
"O.E.13.L";"E13.L";"C";"1491.337000"
"O.E.13.L.1";"E13.L1";"R";"1491.337000"
"O.E.13.N";"E13.N";"C";"768.547998"
"O.E.13.N.1";"E13.N1";"R";"768.547998"
"O.E.13.N.1.C";"E13.N1.C";"C";"768.547998"
"O.E.13.N.1.C.1";"E13.N1.C1";"H";"128.091333"
"O.E.13.N.1.C.2";"E13.N1.C2";"H";"128.091333"
"O.E.13.N.1.C.3";"E13.N1.C3";"H";"128.091333"
"O.E.13.N.1.C.4";"E13.N1.C4";"H";"128.091333"
"O.E.13.N.1.C.5";"E13.N1.C5";"H";"128.091333"
"O.E.13.N.1.C.6";"E13.N1.C6";"H";"128.091333"
"O.E.13.P";"E13.P";"C";"9740.251512"
"O.E.13.P.1";"E13.P1";"R";"2409.729663"
"O.E.13.P.1.D";"E13.P1.D";"C";"1463.913201"
"O.E.13.P.1.D.11";"E13.P1.D11";"H";"361.085608"
"O.E.13.P.1.D.12";"E13.P1.D12";"H";"361.085608"
"O.E.13.P.1.D.13";"E13.P1.D13";"H";"380.656377"
"O.E.13.P.1.D.14";"E13.P1.D14";"H";"361.085608"
"O.E.13.P.2";"E13.P2";"R";"2443.507283"
"O.E.13.P.2.D";"E13.P2.D";"C";"1444.342432"
"O.E.13.P.2.D.21";"E13.P2.D21";"H";"361.085608"
"O.E.13.P.2.D.22";"E13.P2.D22";"H";"361.085608"
"O.E.13.P.2.D.23";"E13.P2.D23";"H";"361.085608"
"O.E.13.P.2.D.24";"E13.P2.D24";"H";"361.085608"
"O.E.13.P.3";"E13.P3";"R";"2082.421675"
"O.E.13.P.3.D";"E13.P3.D";"C";"1083.256824"
"O.E.13.P.3.D.31";"E13.P3.D31";"H";"361.085608"
"O.E.13.P.3.D.32";"E13.P3.D32";"H";"361.085608"
"O.E.13.P.3.D.33";"E13.P3.D33";"H";"361.085608"
"O.E.13.P.4";"E13.P4";"H";"2804.592891"
"O.E.13.P.4.D";"E13.P4.D";"R";"1805.428040"
"O.E.13.P.4.D.34";"E13.P4.D34";"C";"361.085608"
"O.E.13.P.4.D.41";"E13.P4.D41";"H";"361.085608"
"O.E.13.P.4.D.42";"E13.P4.D42";"H";"361.085608"
"O.E.13.P.4.D.43";"E13.P4.D43";"H";"361.085608"
"O.E.13.P.4.D.44";"E13.P4.D44";"H";"361.085608"
"O.E.14";;;"14041.140881"
"O.E.14.L";"E14.L";"C";"1491.337000"
"O.E.14.L.0";"E14.L0";"R";"745.668500"
"O.E.14.L.1";"E14.L1";"R";"745.668500"
"O.E.14.N";"E14.N";"C";"768.548004"
"O.E.14.N.0";"E14.N0";"R";"384.274002"
"O.E.14.N.0.C";"E14.N0.C";"C";"384.274002"
"O.E.14.N.0.C.1";"E14.N0.C1";"H";"64.045667"
"O.E.14.N.0.C.2";"E14.N0.C2";"H";"64.045667"
"O.E.14.N.0.C.3";"E14.N0.C3";"H";"64.045667"
"O.E.14.N.0.C.4";"E14.N0.C4";"H";"64.045667"
"O.E.14.N.0.C.5";"E14.N0.C5";"H";"64.045667"
"O.E.14.N.0.C.6";"E14.N0.C6";"H";"64.045667"
"O.E.14.N.1";"E14.N1";"R";"384.274002"
"O.E.14.N.1.C";"E14.N1.C";"C";"384.274002"
"O.E.14.N.1.C.1";"E14.N1.C1";"H";"64.045667"
"O.E.14.N.1.C.2";"E14.N1.C2";"H";"64.045667"
"O.E.14.N.1.C.3";"E14.N1.C3";"H";"64.045667"
"O.E.14.N.1.C.4";"E14.N1.C4";"H";"64.045667"
"O.E.14.N.1.C.5";"E14.N1.C5";"H";"64.045667"
"O.E.14.N.1.C.6";"E14.N1.C6";"H";"64.045667"
"O.E.14.P";"E14.P";"C";"10977.695877"
"O.E.14.P.0";"E14.P0";"R";"1237.444365"
"O.E.14.P.0.D";"E14.P0.D";"C";"722.171216"
"O.E.14.P.0.D.01";"E14.P0.D01";"H";"361.085608"
"O.E.14.P.0.D.02";"E14.P0.D02";"H";"361.085608"
"O.E.14.P.1";"E14.P1";"R";"2409.729663"
"O.E.14.P.1.D";"E14.P1.D";"C";"1463.913201"
"O.E.14.P.1.D.11";"E14.P1.D11";"H";"361.085608"
"O.E.14.P.1.D.12";"E14.P1.D12";"H";"361.085608"
"O.E.14.P.1.D.13";"E14.P1.D13";"H";"380.656377"
"O.E.14.P.1.D.14";"E14.P1.D14";"H";"361.085608"
"O.E.14.P.2";"E14.P2";"R";"2443.507283"
"O.E.14.P.2.D";"E14.P2.D";"C";"1444.342432"
"O.E.14.P.2.D.21";"E14.P2.D21";"H";"361.085608"
"O.E.14.P.2.D.22";"E14.P2.D22";"H";"361.085608"
"O.E.14.P.2.D.23";"E14.P2.D23";"H";"361.085608"
"O.E.14.P.2.D.24";"E14.P2.D24";"H";"361.085608"
"O.E.14.P.3";"E14.P3";"R";"2082.421675"
"O.E.14.P.3.D";"E14.P3.D";"C";"1083.256824"
"O.E.14.P.3.D.31";"E14.P3.D31";"H";"361.085608"
"O.E.14.P.3.D.32";"E14.P3.D32";"H";"361.085608"
"O.E.14.P.3.D.33";"E14.P3.D33";"H";"361.085608"
"O.E.14.P.4";"E14.P4";"R";"2804.592891"
"O.E.14.P.4.D";"E14.P4.D";"C";"1805.428040"
"O.E.14.P.4.D.34";"E14.P4.D34";"H";"361.085608"
"O.E.14.P.4.D.41";"E14.P4.D41";"H";"361.085608"
"O.E.14.P.4.D.42";"E14.P4.D42";"H";"361.085608"
"O.E.14.P.4.D.43";"E14.P4.D43";"H";"361.085608"
"O.E.14.P.4.D.44";"E14.P4.D44";"H";"361.085608"
"O.E.15";;;"14041.140881"
"O.E.15.L";"E15.L";"C";"1491.337000"
"O.E.15.L.0";"E15.L0";"R";"745.668500"
"O.E.15.L.1";"E15.L1";"R";"745.668500"
