ELEMENTO_ID;DSC;TIPO;CONTEXTO;PORC_APL;EDIFICIO;NIVEL;PISO;DEPTO
L;Lote;LOTE;LOTE;1;;;;
E01;Edificio 1;EDIFICIO;EDIF_B;1;E01;;;
E02;Edificio 2;EDIFICIO;EDIF_A;1;E02;;;
E03;Edificio 3;EDIFICIO;EDIF_A;1;E03;;;
E04;Edificio 4;EDIFICIO;EDIF_A;1;E04;;;
E05;Edificio 5;EDIFICIO;EDIF_A;1;E05;;;
E06;Edificio 6;EDIFICIO;EDIF_A;1;E06;;;
E07;Edificio 7;EDIFICIO;EDIF_A;1;E07;;;
E08;Edificio 8;EDIFICIO;EDIF_A;1;E08;;;
E09;Edificio 9;EDIFICIO;EDIF_A;1;E09;;;
E10;Edificio 10;EDIFICIO;EDIF_A;1;E10;;;
E11;Edificio 11;EDIFICIO;EDIF_A;1;E11;;;
E12;Edificio 12;EDIFICIO;EDIF_A;1;E12;;;
E13;Edificio 13;EDIFICIO;EDIF_A;1;E13;;;
E14;Edificio 14;EDIFICIO;EDIF_C;1;E14;;;
E15;Edificio 15;EDIFICIO;EDIF_C;1;E15;;;
E16;Edificio 16;EDIFICIO;EDIF_C;1;E16;;;
E17;Edificio 17;EDIFICIO;EDIF_C;1;E17;;;
E18;Edificio 18;EDIFICIO;EDIF_A;1;E18;;;
E19;Edificio 19;EDIFICIO;EDIF_A;1;E19;;;
E20;Edificio 20;EDIFICIO;EDIF_A;1;E20;;;
E01.P0;Piso 0;PISO;PISO0;0.5;E01;;P0;
E01.P1;Piso 1;PISO;PISO1;1;E01;;P1;
E01.P2;Piso 2;PISO;PISO2;1;E01;;P2;
E01.P3;Piso 3;PISO;PISO3;1;E01;;P3;
E01.P4;Piso 4;PISO;PISO4;1;E01;;P4;
E02.P1;Piso 1;PISO;PISO1;1;E02;;P1;
E02.P2;Piso 2;PISO;PISO2;1;E02;;P2;
E02.P3;Piso 3;PISO;PISO3;1;E02;;P3;
E02.P4;Piso 4;PISO;PISO4;1;E02;;P4;
E03.P1;Piso 1;PISO;PISO1;1;E03;;P1;
E03.P2;Piso 2;PISO;PISO2;1;E03;;P2;
E03.P3;Piso 3;PISO;PISO3;1;E03;;P3;
E03.P4;Piso 4;PISO;PISO4;1;E03;;P4;
E04.P1;Piso 1;PISO;PISO1;1;E04;;P1;
E04.P2;Piso 2;PISO;PISO2;1;E04;;P2;
E04.P3;Piso 3;PISO;PISO3;1;E04;;P3;
E04.P4;Piso 4;PISO;PISO4;1;E04;;P4;
E05.P1;Piso 1;PISO;PISO1;1;E05;;P1;
E05.P2;Piso 2;PISO;PISO2;1;E05;;P2;
E05.P3;Piso 3;PISO;PISO3;1;E05;;P3;
E05.P4;Piso 4;PISO;PISO4;1;E05;;P4;
E06.P1;Piso 1;PISO;PISO1;1;E06;;P1;
E06.P2;Piso 2;PISO;PISO2;1;E06;;P2;
E06.P3;Piso 3;PISO;PISO3;1;E06;;P3;
E06.P4;Piso 4;PISO;PISO4;1;E06;;P4;
E07.P1;Piso 1;PISO;PISO1;1;E07;;P1;
E07.P2;Piso 2;PISO;PISO2;1;E07;;P2;
E07.P3;Piso 3;PISO;PISO3;1;E07;;P3;
E07.P4;Piso 4;PISO;PISO4;1;E07;;P4;
E08.P1;Piso 1;PISO;PISO1;1;E08;;P1;
E08.P2;Piso 2;PISO;PISO2;1;E08;;P2;
E08.P3;Piso 3;PISO;PISO3;1;E08;;P3;
E08.P4;Piso 4;PISO;PISO4;1;E08;;P4;
E09.P1;Piso 1;PISO;PISO1;1;E09;;P1;
E09.P2;Piso 2;PISO;PISO2;1;E09;;P2;
E09.P3;Piso 3;PISO;PISO3;1;E09;;P3;
E09.P4;Piso 4;PISO;PISO4;1;E09;;P4;
E10.P1;Piso 1;PISO;PISO1;1;E10;;P1;
E10.P2;Piso 2;PISO;PISO2;1;E10;;P2;
E10.P3;Piso 3;PISO;PISO3;1;E10;;P3;
E10.P4;Piso 4;PISO;PISO4;1;E10;;P4;
E11.P1;Piso 1;PISO;PISO1;1;E11;;P1;
E11.P2;Piso 2;PISO;PISO2;1;E11;;P2;
E11.P3;Piso 3;PISO;PISO3;1;E11;;P3;
E11.P4;Piso 4;PISO;PISO4;1;E11;;P4;
E12.P1;Piso 1;PISO;PISO1;1;E12;;P1;
E12.P2;Piso 2;PISO;PISO2;1;E12;;P2;
E12.P3;Piso 3;PISO;PISO3;1;E12;;P3;
E12.P4;Piso 4;PISO;PISO4;1;E12;;P4;
E13.P1;Piso 1;PISO;PISO1;1;E13;;P1;
E13.P2;Piso 2;PISO;PISO2;1;E13;;P2;
E13.P3;Piso 3;PISO;PISO3;1;E13;;P3;
E13.P4;Piso 4;PISO;PISO4;1;E13;;P4;
E14.P0;Piso 0;PISO;PISO0;0.5;E14;;P0;
E14.P1;Piso 1;PISO;PISO1;1;E14;;P1;
E14.P2;Piso 2;PISO;PISO2;1;E14;;P2;
E14.P3;Piso 3;PISO;PISO3;1;E14;;P3;
E14.P4;Piso 4;PISO;PISO4;1;E14;;P4;
E15.P0;Piso 0;PISO;PISO0;0.5;E15;;P0;
E15.P1;Piso 1;PISO;PISO1;1;E15;;P1;
E15.P2;Piso 2;PISO;PISO2;1;E15;;P2;
E15.P3;Piso 3;PISO;PISO3;1;E15;;P3;
E15.P4;Piso 4;PISO;PISO4;1;E15;;P4;
E16.P0;Piso 0;PISO;PISO0;0.5;E16;;P0;
E16.P1;Piso 1;PISO;PISO1;1;E16;;P1;
E16.P2;Piso 2;PISO;PISO2;1;E16;;P2;
E16.P3;Piso 3;PISO;PISO3;1;E16;;P3;
E16.P4;Piso 4;PISO;PISO4;1;E16;;P4;
E17.P0;Piso 0;PISO;PISO0;0.5;E17;;P0;
E17.P1;Piso 1;PISO;PISO1;1;E17;;P1;
E17.P2;Piso 2;PISO;PISO2;1;E17;;P2;
E17.P3;Piso 3;PISO;PISO3;1;E17;;P3;
E17.P4;Piso 4;PISO;PISO4;1;E17;;P4;
E18.P1;Piso 1;PISO;PISO1;1;E18;;P1;
E18.P2;Piso 2;PISO;PISO2;1;E18;;P2;
E18.P3;Piso 3;PISO;PISO3;1;E18;;P3;
E18.P4;Piso 4;PISO;PISO4;1;E18;;P4;
E19.P1;Piso 1;PISO;PISO1;1;E19;;P1;
E19.P2;Piso 2;PISO;PISO2;1;E19;;P2;
E19.P3;Piso 3;PISO;PISO3;1;E19;;P3;
E19.P4;Piso 4;PISO;PISO4;1;E19;;P4;
E20.P1;Piso 1;PISO;PISO1;1;E20;;P1;
E20.P2;Piso 2;PISO;PISO2;1;E20;;P2;
E20.P3;Piso 3;PISO;PISO3;1;E20;;P3;
E20.P4;Piso 4;PISO;PISO4;1;E20;;P4;
E01.P0.D01;Depto 01;DEPTO;DEPTO_TIPO;1;E01;;P0;D01
E01.P0.D02;Depto 02;DEPTO;DEPTO_TIPO;1;E01;;P0;D02
E01.P1.D11;Depto 11;DEPTO;DEPTO_TIPO;1;E01;;P1;D11
E01.P1.D12;Depto 12;DEPTO;DEPTO_TIPO;1;E01;;P1;D12
E01.P1.D13;Depto 13;DEPTO;DEPTO_INV;1;E01;;P1;D13
E01.P1.D14;Depto 14;DEPTO;DEPTO_TIPO;1;E01;;P1;D14
E01.P2.D21;Depto 21;DEPTO;DEPTO_TIPO;1;E01;;P2;D21
E01.P2.D22;Depto 22;DEPTO;DEPTO_TIPO;1;E01;;P2;D22
E01.P2.D23;Depto 23;DEPTO;DEPTO_TIPO;1;E01;;P2;D23
E01.P2.D24;Depto 24;DEPTO;DEPTO_TIPO;1;E01;;P2;D24
E01.P3.D31;Depto 31;DEPTO;DEPTO_TIPO;1;E01;;P3;D31
E01.P3.D32;Depto 32;DEPTO;DEPTO_TIPO;1;E01;;P3;D32
E01.P3.D33;Depto 33;DEPTO;DEPTO_TIPO;1;E01;;P3;D33
E01.P4.D34;Depto 34;DEPTO;DEPTO_TIPO;1;E01;;P4;D34
E01.P4.D41;Depto 41;DEPTO;DEPTO_TIPO;1;E01;;P4;D41
E01.P4.D42;Depto 42;DEPTO;DEPTO_TIPO;1;E01;;P4;D42
E01.P4.D43;Depto 43;DEPTO;DEPTO_TIPO;1;E01;;P4;D43
E01.P4.D44;Depto 44;DEPTO;DEPTO_TIPO;1;E01;;P4;D44
E02.P1.D11;Depto 11;DEPTO;DEPTO_TIPO;1;E02;;P1;D11
E02.P1.D12;Depto 12;DEPTO;DEPTO_TIPO;1;E02;;P1;D12
E02.P1.D13;Depto 13;DEPTO;DEPTO_INV;1;E02;;P1;D13
E02.P1.D14;Depto 14;DEPTO;DEPTO_TIPO;1;E02;;P1;D14
E02.P2.D21;Depto 21;DEPTO;DEPTO_TIPO;1;E02;;P2;D21
E02.P2.D22;Depto 22;DEPTO;DEPTO_TIPO;1;E02;;P2;D22
E02.P2.D23;Depto 23;DEPTO;DEPTO_TIPO;1;E02;;P2;D23
E02.P2.D24;Depto 24;DEPTO;DEPTO_TIPO;1;E02;;P2;D24
E02.P3.D31;Depto 31;DEPTO;DEPTO_TIPO;1;E02;;P3;D31
E02.P3.D32;Depto 32;DEPTO;DEPTO_TIPO;1;E02;;P3;D32
E02.P3.D33;Depto 33;DEPTO;DEPTO_TIPO;1;E02;;P3;D33
E02.P4.D34;Depto 34;DEPTO;DEPTO_TIPO;1;E02;;P4;D34
E02.P4.D41;Depto 41;DEPTO;DEPTO_TIPO;1;E02;;P4;D41
E02.P4.D42;Depto 42;DEPTO;DEPTO_TIPO;1;E02;;P4;D42
E02.P4.D43;Depto 43;DEPTO;DEPTO_TIPO;1;E02;;P4;D43
E02.P4.D44;Depto 44;DEPTO;DEPTO_TIPO;1;E02;;P4;D44
E03.P1.D11;Depto 11;DEPTO;DEPTO_TIPO;1;E03;;P1;D11
E03.P1.D12;Depto 12;DEPTO;DEPTO_TIPO;1;E03;;P1;D12
E03.P1.D13;Depto 13;DEPTO;DEPTO_INV;1;E03;;P1;D13
E03.P1.D14;Depto 14;DEPTO;DEPTO_TIPO;1;E03;;P1;D14
E03.P2.D21;Depto 21;DEPTO;DEPTO_TIPO;1;E03;;P2;D21
E03.P2.D22;Depto 22;DEPTO;DEPTO_TIPO;1;E03;;P2;D22
E03.P2.D23;Depto 23;DEPTO;DEPTO_TIPO;1;E03;;P2;D23
E03.P2.D24;Depto 24;DEPTO;DEPTO_TIPO;1;E03;;P2;D24
E03.P3.D31;Depto 31;DEPTO;DEPTO_TIPO;1;E03;;P3;D31
E03.P3.D32;Depto 32;DEPTO;DEPTO_TIPO;1;E03;;P3;D32
E03.P3.D33;Depto 33;DEPTO;DEPTO_TIPO;1;E03;;P3;D33
E03.P4.D34;Depto 34;DEPTO;DEPTO_TIPO;1;E03;;P4;D34
E03.P4.D41;Depto 41;DEPTO;DEPTO_TIPO;1;E03;;P4;D41
E03.P4.D42;Depto 42;DEPTO;DEPTO_TIPO;1;E03;;P4;D42
E03.P4.D43;Depto 43;DEPTO;DEPTO_TIPO;1;E03;;P4;D43
E03.P4.D44;Depto 44;DEPTO;DEPTO_TIPO;1;E03;;P4;D44
E04.P1.D11;Depto 11;DEPTO;DEPTO_TIPO;1;E04;;P1;D11
E04.P1.D12;Depto 12;DEPTO;DEPTO_TIPO;1;E04;;P1;D12
E04.P1.D13;Depto 13;DEPTO;DEPTO_INV;1;E04;;P1;D13
E04.P1.D14;Depto 14;DEPTO;DEPTO_TIPO;1;E04;;P1;D14
E04.P2.D21;Depto 21;DEPTO;DEPTO_TIPO;1;E04;;P2;D21
E04.P2.D22;Depto 22;DEPTO;DEPTO_TIPO;1;E04;;P2;D22
E04.P2.D23;Depto 23;DEPTO;DEPTO_TIPO;1;E04;;P2;D23
E04.P2.D24;Depto 24;DEPTO;DEPTO_TIPO;1;E04;;P2;D24
E04.P3.D31;Depto 31;DEPTO;DEPTO_TIPO;1;E04;;P3;D31
E04.P3.D32;Depto 32;DEPTO;DEPTO_TIPO;1;E04;;P3;D32
E04.P3.D33;Depto 33;DEPTO;DEPTO_TIPO;1;E04;;P3;D33
E04.P4.D34;Depto 34;DEPTO;DEPTO_TIPO;1;E04;;P4;D34
E04.P4.D41;Depto 41;DEPTO;DEPTO_TIPO;1;E04;;P4;D41
E04.P4.D42;Depto 42;DEPTO;DEPTO_TIPO;1;E04;;P4;D42
E04.P4.D43;Depto 43;DEPTO;DEPTO_TIPO;1;E04;;P4;D43
E04.P4.D44;Depto 44;DEPTO;DEPTO_TIPO;1;E04;;P4;D44
E05.P1.D11;Depto 11;DEPTO;DEPTO_TIPO;1;E05;;P1;D11
E05.P1.D12;Depto 12;DEPTO;DEPTO_TIPO;1;E05;;P1;D12
E05.P1.D13;Depto 13;DEPTO;DEPTO_INV;1;E05;;P1;D13
E05.P1.D14;Depto 14;DEPTO;DEPTO_TIPO;1;E05;;P1;D14
E05.P2.D21;Depto 21;DEPTO;DEPTO_TIPO;1;E05;;P2;D21
E05.P2.D22;Depto 22;DEPTO;DEPTO_TIPO;1;E05;;P2;D22
E05.P2.D23;Depto 23;DEPTO;DEPTO_TIPO;1;E05;;P2;D23
E05.P2.D24;Depto 24;DEPTO;DEPTO_TIPO;1;E05;;P2;D24
E05.P3.D31;Depto 31;DEPTO;DEPTO_TIPO;1;E05;;P3;D31
E05.P3.D32;Depto 32;DEPTO;DEPTO_TIPO;1;E05;;P3;D32
E05.P3.D33;Depto 33;DEPTO;DEPTO_TIPO;1;E05;;P3;D33
E05.P4.D34;Depto 34;DEPTO;DEPTO_TIPO;1;E05;;P4;D34
E05.P4.D41;Depto 41;DEPTO;DEPTO_TIPO;1;E05;;P4;D41
E05.P4.D42;Depto 42;DEPTO;DEPTO_TIPO;1;E05;;P4;D42
E05.P4.D43;Depto 43;DEPTO;DEPTO_TIPO;1;E05;;P4;D43
E05.P4.D44;Depto 44;DEPTO;DEPTO_TIPO;1;E05;;P4;D44
E06.P1.D11;Depto 11;DEPTO;DEPTO_TIPO;1;E06;;P1;D11
E06.P1.D12;Depto 12;DEPTO;DEPTO_TIPO;1;E06;;P1;D12
E06.P1.D13;Depto 13;DEPTO;DEPTO_INV;1;E06;;P1;D13
E06.P1.D14;Depto 14;DEPTO;DEPTO_TIPO;1;E06;;P1;D14
E06.P2.D21;Depto 21;DEPTO;DEPTO_TIPO;1;E06;;P2;D21
E06.P2.D22;Depto 22;DEPTO;DEPTO_TIPO;1;E06;;P2;D22
E06.P2.D23;Depto 23;DEPTO;DEPTO_TIPO;1;E06;;P2;D23
E06.P2.D24;Depto 24;DEPTO;DEPTO_TIPO;1;E06;;P2;D24
E06.P3.D31;Depto 31;DEPTO;DEPTO_TIPO;1;E06;;P3;D31
E06.P3.D32;Depto 32;DEPTO;DEPTO_TIPO;1;E06;;P3;D32
E06.P3.D33;Depto 33;DEPTO;DEPTO_TIPO;1;E06;;P3;D33
E06.P4.D34;Depto 34;DEPTO;DEPTO_TIPO;1;E06;;P4;D34
E06.P4.D41;Depto 41;DEPTO;DEPTO_TIPO;1;E06;;P4;D41
E06.P4.D42;Depto 42;DEPTO;DEPTO_TIPO;1;E06;;P4;D42
E06.P4.D43;Depto 43;DEPTO;DEPTO_TIPO;1;E06;;P4;D43
E06.P4.D44;Depto 44;DEPTO;DEPTO_TIPO;1;E06;;P4;D44
E07.P1.D11;Depto 11;DEPTO;DEPTO_TIPO;1;E07;;P1;D11
E07.P1.D12;Depto 12;DEPTO;DEPTO_TIPO;1;E07;;P1;D12
E07.P1.D13;Depto 13;DEPTO;DEPTO_INV;1;E07;;P1;D13
E07.P1.D14;Depto 14;DEPTO;DEPTO_TIPO;1;E07;;P1;D14
E07.P2.D21;Depto 21;DEPTO;DEPTO_TIPO;1;E07;;P2;D21
E07.P2.D22;Depto 22;DEPTO;DEPTO_TIPO;1;E07;;P2;D22
E07.P2.D23;Depto 23;DEPTO;DEPTO_TIPO;1;E07;;P2;D23
E07.P2.D24;Depto 24;DEPTO;DEPTO_TIPO;1;E07;;P2;D24
E07.P3.D31;Depto 31;DEPTO;DEPTO_TIPO;1;E07;;P3;D31
E07.P3.D32;Depto 32;DEPTO;DEPTO_TIPO;1;E07;;P3;D32
E07.P3.D33;Depto 33;DEPTO;DEPTO_TIPO;1;E07;;P3;D33
E07.P4.D34;Depto 34;DEPTO;DEPTO_TIPO;1;E07;;P4;D34
E07.P4.D41;Depto 41;DEPTO;DEPTO_TIPO;1;E07;;P4;D41
E07.P4.D42;Depto 42;DEPTO;DEPTO_TIPO;1;E07;;P4;D42
E07.P4.D43;Depto 43;DEPTO;DEPTO_TIPO;1;E07;;P4;D43
E07.P4.D44;Depto 44;DEPTO;DEPTO_TIPO;1;E07;;P4;D44
E08.P1.D11;Depto 11;DEPTO;DEPTO_TIPO;1;E08;;P1;D11
E08.P1.D12;Depto 12;DEPTO;DEPTO_TIPO;1;E08;;P1;D12
E08.P1.D13;Depto 13;DEPTO;DEPTO_MR;1;E08;;P1;D13
E08.P1.D14;Depto 14;DEPTO;DEPTO_TIPO;1;E08;;P1;D14
E08.P2.D21;Depto 21;DEPTO;DEPTO_TIPO;1;E08;;P2;D21
E08.P2.D22;Depto 22;DEPTO;DEPTO_TIPO;1;E08;;P2;D22
E08.P2.D23;Depto 23;DEPTO;DEPTO_TIPO;1;E08;;P2;D23
E08.P2.D24;Depto 24;DEPTO;DEPTO_TIPO;1;E08;;P2;D24
E08.P3.D31;Depto 31;DEPTO;DEPTO_TIPO;1;E08;;P3;D31
E08.P3.D32;Depto 32;DEPTO;DEPTO_TIPO;1;E08;;P3;D32
E08.P3.D33;Depto 33;DEPTO;DEPTO_TIPO;1;E08;;P3;D33
E08.P4.D34;Depto 34;DEPTO;DEPTO_TIPO;1;E08;;P4;D34
E08.P4.D41;Depto 41;DEPTO;DEPTO_TIPO;1;E08;;P4;D41
E08.P4.D42;Depto 42;DEPTO;DEPTO_TIPO;1;E08;;P4;D42
E08.P4.D43;Depto 43;DEPTO;DEPTO_TIPO;1;E08;;P4;D43
E08.P4.D44;Depto 44;DEPTO;DEPTO_TIPO;1;E08;;P4;D44
E09.P1.D11;Depto 11;DEPTO;DEPTO_TIPO;1;E09;;P1;D11
E09.P1.D12;Depto 12;DEPTO;DEPTO_TIPO;1;E09;;P1;D12
E09.P1.D13;Depto 13;DEPTO;DEPTO_INV;1;E09;;P1;D13
E09.P1.D14;Depto 14;DEPTO;DEPTO_TIPO;1;E09;;P1;D14
E09.P2.D21;Depto 21;DEPTO;DEPTO_TIPO;1;E09;;P2;D21
E09.P2.D22;Depto 22;DEPTO;DEPTO_TIPO;1;E09;;P2;D22
E09.P2.D23;Depto 23;DEPTO;DEPTO_TIPO;1;E09;;P2;D23
E09.P2.D24;Depto 24;DEPTO;DEPTO_TIPO;1;E09;;P2;D24
E09.P3.D31;Depto 31;DEPTO;DEPTO_TIPO;1;E09;;P3;D31
E09.P3.D32;Depto 32;DEPTO;DEPTO_TIPO;1;E09;;P3;D32
E09.P3.D33;Depto 33;DEPTO;DEPTO_TIPO;1;E09;;P3;D33
E09.P4.D34;Depto 34;DEPTO;DEPTO_TIPO;1;E09;;P4;D34
E09.P4.D41;Depto 41;DEPTO;DEPTO_TIPO;1;E09;;P4;D41
E09.P4.D42;Depto 42;DEPTO;DEPTO_TIPO;1;E09;;P4;D42
E09.P4.D43;Depto 43;DEPTO;DEPTO_TIPO;1;E09;;P4;D43
E09.P4.D44;Depto 44;DEPTO;DEPTO_TIPO;1;E09;;P4;D44
E10.P1.D11;Depto 11;DEPTO;DEPTO_TIPO;1;E10;;P1;D11
E10.P1.D12;Depto 12;DEPTO;DEPTO_TIPO;1;E10;;P1;D12
E10.P1.D13;Depto 13;DEPTO;DEPTO_MR;1;E10;;P1;D13
E10.P1.D14;Depto 14;DEPTO;DEPTO_TIPO;1;E10;;P1;D14
E10.P2.D21;Depto 21;DEPTO;DEPTO_TIPO;1;E10;;P2;D21
E10.P2.D22;Depto 22;DEPTO;DEPTO_TIPO;1;E10;;P2;D22
E10.P2.D23;Depto 23;DEPTO;DEPTO_TIPO;1;E10;;P2;D23
E10.P2.D24;Depto 24;DEPTO;DEPTO_TIPO;1;E10;;P2;D24
E10.P3.D31;Depto 31;DEPTO;DEPTO_TIPO;1;E10;;P3;D31
E10.P3.D32;Depto 32;DEPTO;DEPTO_TIPO;1;E10;;P3;D32
E10.P3.D33;Depto 33;DEPTO;DEPTO_TIPO;1;E10;;P3;D33
E10.P4.D34;Depto 34;DEPTO;DEPTO_TIPO;1;E10;;P4;D34
E10.P4.D41;Depto 41;DEPTO;DEPTO_TIPO;1;E10;;P4;D41
E10.P4.D42;Depto 42;DEPTO;DEPTO_TIPO;1;E10;;P4;D42
E10.P4.D43;Depto 43;DEPTO;DEPTO_TIPO;1;E10;;P4;D43
E10.P4.D44;Depto 44;DEPTO;DEPTO_TIPO;1;E10;;P4;D44
E11.P1.D11;Depto 11;DEPTO;DEPTO_TIPO;1;E11;;P1;D11
E11.P1.D12;Depto 12;DEPTO;DEPTO_TIPO;1;E11;;P1;D12
E11.P1.D13;Depto 13;DEPTO;DEPTO_INV;1;E11;;P1;D13
E11.P1.D14;Depto 14;DEPTO;DEPTO_TIPO;1;E11;;P1;D14
E11.P2.D21;Depto 21;DEPTO;DEPTO_TIPO;1;E11;;P2;D21
E11.P2.D22;Depto 22;DEPTO;DEPTO_TIPO;1;E11;;P2;D22
E11.P2.D23;Depto 23;DEPTO;DEPTO_TIPO;1;E11;;P2;D23
E11.P2.D24;Depto 24;DEPTO;DEPTO_TIPO;1;E11;;P2;D24
E11.P3.D31;Depto 31;DEPTO;DEPTO_TIPO;1;E11;;P3;D31
E11.P3.D32;Depto 32;DEPTO;DEPTO_TIPO;1;E11;;P3;D32
E11.P3.D33;Depto 33;DEPTO;DEPTO_TIPO;1;E11;;P3;D33
E11.P4.D34;Depto 34;DEPTO;DEPTO_TIPO;1;E11;;P4;D34
E11.P4.D41;Depto 41;DEPTO;DEPTO_TIPO;1;E11;;P4;D41
E11.P4.D42;Depto 42;DEPTO;DEPTO_TIPO;1;E11;;P4;D42
E11.P4.D43;Depto 43;DEPTO;DEPTO_TIPO;1;E11;;P4;D43
E11.P4.D44;Depto 44;DEPTO;DEPTO_TIPO;1;E11;;P4;D44
E12.P1.D11;Depto 11;DEPTO;DEPTO_TIPO;1;E12;;P1;D11
E12.P1.D12;Depto 12;DEPTO;DEPTO_TIPO;1;E12;;P1;D12
E12.P1.D13;Depto 13;DEPTO;DEPTO_INV;1;E12;;P1;D13
E12.P1.D14;Depto 14;DEPTO;DEPTO_TIPO;1;E12;;P1;D14
E12.P2.D21;Depto 21;DEPTO;DEPTO_TIPO;1;E12;;P2;D21
E12.P2.D22;Depto 22;DEPTO;DEPTO_TIPO;1;E12;;P2;D22
E12.P2.D23;Depto 23;DEPTO;DEPTO_TIPO;1;E12;;P2;D23
E12.P2.D24;Depto 24;DEPTO;DEPTO_TIPO;1;E12;;P2;D24
E12.P3.D31;Depto 31;DEPTO;DEPTO_TIPO;1;E12;;P3;D31
E12.P3.D32;Depto 32;DEPTO;DEPTO_TIPO;1;E12;;P3;D32
E12.P3.D33;Depto 33;DEPTO;DEPTO_TIPO;1;E12;;P3;D33
E12.P4.D34;Depto 34;DEPTO;DEPTO_TIPO;1;E12;;P4;D34
E12.P4.D41;Depto 41;DEPTO;DEPTO_TIPO;1;E12;;P4;D41
E12.P4.D42;Depto 42;DEPTO;DEPTO_TIPO;1;E12;;P4;D42
E12.P4.D43;Depto 43;DEPTO;DEPTO_TIPO;1;E12;;P4;D43
E12.P4.D44;Depto 44;DEPTO;DEPTO_TIPO;1;E12;;P4;D44
E13.P1.D11;Depto 11;DEPTO;DEPTO_TIPO;1;E13;;P1;D11
E13.P1.D12;Depto 12;DEPTO;DEPTO_TIPO;1;E13;;P1;D12
E13.P1.D13;Depto 13;DEPTO;DEPTO_INV;1;E13;;P1;D13
E13.P1.D14;Depto 14;DEPTO;DEPTO_TIPO;1;E13;;P1;D14
E13.P2.D21;Depto 21;DEPTO;DEPTO_TIPO;1;E13;;P2;D21
E13.P2.D22;Depto 22;DEPTO;DEPTO_TIPO;1;E13;;P2;D22
E13.P2.D23;Depto 23;DEPTO;DEPTO_TIPO;1;E13;;P2;D23
E13.P2.D24;Depto 24;DEPTO;DEPTO_TIPO;1;E13;;P2;D24
