ID;TIPO
E;R
E01;R
E01.L;C
E01.L0;R
E01.L1;R
E01.N;C
E01.N0;R
E01.N0.C;C
E01.N0.C1;H
E01.N0.C2;H
E01.N0.C3;H
E01.N0.C4;H
E01.N0.C5;H
E01.N0.C6;H
E01.N1;R
E01.N1.C;C
E01.N1.C1;H
E01.N1.C2;H
E01.N1.C3;H
E01.N1.C4;H
E01.N1.C5;H
E01.N1.C6;H
E01.P;C
E01.P0;R
E01.P0.D;C
E01.P0.D01;H
E01.P0.D02;H
E01.P1;R
E01.P1.D;C
E01.P1.D11;H
E01.P1.D12;H
E01.P1.D13;H
E01.P1.D14;H
E01.P2;R
E01.P2.D;C
E01.P2.D21;H
E01.P2.D22;H
E01.P2.D23;H
E01.P2.D24;H
E01.P3;R
E01.P3.D;C
E01.P3.D31;H
E01.P3.D32;H
E01.P3.D33;H
E01.P4;R
E01.P4.D;C
E01.P4.D34;H
E01.P4.D41;H
E01.P4.D42;H
E01.P4.D43;H
E01.P4.D44;H
E02;R
E02.L;C
E02.L1;R
E02.N;C
E02.N1;R
E02.N1.C;C
E02.N1.C1;H
E02.N1.C2;H
E02.N1.C3;H
E02.N1.C4;H
E02.N1.C5;H
E02.N1.C6;H
E02.P;C
E02.P1;R
E02.P1.D;C
E02.P1.D11;H
E02.P1.D12;H
E02.P1.D13;H
E02.P1.D14;H
E02.P2;R
E02.P2.D;C
E02.P2.D21;H
E02.P2.D22;H
E02.P2.D23;H
E02.P2.D24;H
E02.P3;R
E02.P3.D;C
E02.P3.D31;H
E02.P3.D32;H
E02.P3.D33;H
E02.P4;H
E02.P4.D;R
E02.P4.D34;C
E02.P4.D41;H
E02.P4.D42;H
E02.P4.D43;H
E02.P4.D44;H
E03;R
E03.L;C
E03.L1;R
E03.N;C
E03.N1;R
E03.N1.C;C
E03.N1.C1;H
E03.N1.C2;H
E03.N1.C3;H
E03.N1.C4;H
E03.N1.C5;H
E03.N1.C6;H
E03.P;C
E03.P1;R
E03.P1.D;C
E03.P1.D11;H
E03.P1.D12;H
E03.P1.D13;H
E03.P1.D14;H
E03.P2;R
E03.P2.D;C
E03.P2.D21;H
E03.P2.D22;H
E03.P2.D23;H
E03.P2.D24;H
E03.P3;R
E03.P3.D;C
E03.P3.D31;H
E03.P3.D32;H
E03.P3.D33;H
E03.P4;H
E03.P4.D;R
E03.P4.D34;C
E03.P4.D41;H
E03.P4.D42;H
E03.P4.D43;H
E03.P4.D44;H
E04;R
E04.L;C
E04.L1;R
E04.N;C
E04.N1;R
E04.N1.C;C
E04.N1.C1;H
E04.N1.C2;H
E04.N1.C3;H
E04.N1.C4;H
E04.N1.C5;H
E04.N1.C6;H
E04.P;C
E04.P1;R
E04.P1.D;C
E04.P1.D11;H
E04.P1.D12;H
E04.P1.D13;H
E04.P1.D14;H
E04.P2;R
E04.P2.D;C
E04.P2.D21;H
E04.P2.D22;H
E04.P2.D23;H
E04.P2.D24;H
E04.P3;R
E04.P3.D;C
E04.P3.D31;H
E04.P3.D32;H
E04.P3.D33;H
E04.P4;H
E04.P4.D;R
E04.P4.D34;C
E04.P4.D41;H
E04.P4.D42;H
E04.P4.D43;H
E04.P4.D44;H
E05;R
E05.L;C
E05.L1;R
E05.N;C
E05.N1;R
E05.N1.C;C
E05.N1.C1;H
E05.N1.C2;H
E05.N1.C3;H
E05.N1.C4;H
E05.N1.C5;H
E05.N1.C6;H
E05.P;C
E05.P1;R
E05.P1.D;C
E05.P1.D11;H
E05.P1.D12;H
E05.P1.D13;H
E05.P1.D14;H
E05.P2;R
E05.P2.D;C
E05.P2.D21;H
E05.P2.D22;H
E05.P2.D23;H
E05.P2.D24;H
E05.P3;R
E05.P3.D;C
E05.P3.D31;H
E05.P3.D32;H
E05.P3.D33;H
E05.P4;H
E05.P4.D;R
E05.P4.D34;C
E05.P4.D41;H
E05.P4.D42;H
E05.P4.D43;H
E05.P4.D44;H
E06;R
E06.L;C
E06.L1;R
E06.N;C
E06.N1;R
E06.N1.C;C
E06.N1.C1;H
E06.N1.C2;H
E06.N1.C3;H
E06.N1.C4;H
E06.N1.C5;H
E06.N1.C6;H
E06.P;C
E06.P1;R
E06.P1.D;C
E06.P1.D11;H
E06.P1.D12;H
E06.P1.D13;H
E06.P1.D14;H
E06.P2;R
E06.P2.D;C
E06.P2.D21;H
E06.P2.D22;H
E06.P2.D23;H
E06.P2.D24;H
E06.P3;R
E06.P3.D;C
E06.P3.D31;H
E06.P3.D32;H
E06.P3.D33;H
E06.P4;H
E06.P4.D;R
E06.P4.D34;C
E06.P4.D41;H
E06.P4.D42;H
E06.P4.D43;H
E06.P4.D44;H
E07;R
E07.L;C
E07.L1;R
E07.N;C
E07.N1;R
E07.N1.C;C
E07.N1.C1;H
E07.N1.C2;H
E07.N1.C3;H
E07.N1.C4;H
E07.N1.C5;H
E07.N1.C6;H
E07.P;C
E07.P1;R
E07.P1.D;C
E07.P1.D11;H
E07.P1.D12;H
E07.P1.D13;H
E07.P1.D14;H
E07.P2;R
E07.P2.D;C
E07.P2.D21;H
E07.P2.D22;H
E07.P2.D23;H
E07.P2.D24;H
E07.P3;R
E07.P3.D;C
E07.P3.D31;H
E07.P3.D32;H
E07.P3.D33;H
E07.P4;H
E07.P4.D;R
E07.P4.D34;C
E07.P4.D41;H
E07.P4.D42;H
E07.P4.D43;H
E07.P4.D44;H
E08;R
E08.L;C
E08.L1;R
E08.N;C
E08.N1;R
E08.N1.C;C
E08.N1.C1;H
E08.N1.C2;H
E08.N1.C3;H
E08.N1.C4;H
E08.N1.C5;H
E08.N1.C6;H
E08.P;C
E08.P1;R
E08.P1.D;C
E08.P1.D11;H
E08.P1.D12;H
E08.P1.D13;H
E08.P1.D14;H
E08.P2;R
E08.P2.D;C
E08.P2.D21;H
E08.P2.D22;H
E08.P2.D23;H
E08.P2.D24;H
E08.P3;R
E08.P3.D;C
E08.P3.D31;H
E08.P3.D32;H
E08.P3.D33;H
E08.P4;H
E08.P4.D;R
E08.P4.D34;C
E08.P4.D41;H
E08.P4.D42;H
E08.P4.D43;H
E08.P4.D44;H
E09;R
E09.L;C
E09.L1;R
E09.N;C
E09.N1;R
E09.N1.C;C
E09.N1.C1;H
E09.N1.C2;H
E09.N1.C3;H
E09.N1.C4;H
E09.N1.C5;H
E09.N1.C6;H
E09.P;C
E09.P1;R
E09.P1.D;C
E09.P1.D11;H
E09.P1.D12;H
E09.P1.D13;H
E09.P1.D14;H
E09.P2;R
E09.P2.D;C
E09.P2.D21;H
E09.P2.D22;H
E09.P2.D23;H
E09.P2.D24;H
E09.P3;R
E09.P3.D;C
E09.P3.D31;H
E09.P3.D32;H
E09.P3.D33;H
E09.P4;H
E09.P4.D;R
E09.P4.D34;C
E09.P4.D41;H
E09.P4.D42;H
E09.P4.D43;H
E09.P4.D44;H
E10;R
E10.L;C
E10.L1;R
E10.N;C
E10.N1;R
E10.N1.C;C
E10.N1.C1;H
E10.N1.C2;H
E10.N1.C3;H
E10.N1.C4;H
E10.N1.C5;H
E10.N1.C6;H
E10.P;C
E10.P1;R
E10.P1.D;C
E10.P1.D11;H
E10.P1.D12;H
E10.P1.D13;H
E10.P1.D14;H
E10.P2;R
E10.P2.D;C
E10.P2.D21;H
E10.P2.D22;H
E10.P2.D23;H
E10.P2.D24;H
E10.P3;R
E10.P3.D;C
E10.P3.D31;H
E10.P3.D32;H
E10.P3.D33;H
E10.P4;H
E10.P4.D;R
E10.P4.D34;C
E10.P4.D41;H
E10.P4.D42;H
E10.P4.D43;H
E10.P4.D44;H
E11;R
E11.L;C
E11.L1;R
E11.N;C
E11.N1;R
E11.N1.C;C
E11.N1.C1;H
E11.N1.C2;H
E11.N1.C3;H
E11.N1.C4;H
E11.N1.C5;H
E11.N1.C6;H
E11.P;C
E11.P1;R
E11.P1.D;C
E11.P1.D11;H
E11.P1.D12;H
E11.P1.D13;H
E11.P1.D14;H
E11.P2;R
E11.P2.D;C
E11.P2.D21;H
E11.P2.D22;H
E11.P2.D23;H
E11.P2.D24;H
E11.P3;R
E11.P3.D;C
E11.P3.D31;H
E11.P3.D32;H
E11.P3.D33;H
E11.P4;H
E11.P4.D;R
E11.P4.D34;C
E11.P4.D41;H
E11.P4.D42;H
E11.P4.D43;H
E11.P4.D44;H
E12;R
E12.L;C
E12.L1;R
E12.N;C
E12.N1;R
E12.N1.C;C
E12.N1.C1;H
E12.N1.C2;H
E12.N1.C3;H
E12.N1.C4;H
E12.N1.C5;H
E12.N1.C6;H
E12.P;C
E12.P1;R
E12.P1.D;C
E12.P1.D11;H
E12.P1.D12;H
E12.P1.D13;H
E12.P1.D14;H
E12.P2;R
E12.P2.D;C
E12.P2.D21;H
E12.P2.D22;H
E12.P2.D23;H
E12.P2.D24;H
E12.P3;R
E12.P3.D;C
E12.P3.D31;H
E12.P3.D32;H
E12.P3.D33;H
E12.P4;H
E12.P4.D;R
E12.P4.D34;C
E12.P4.D41;H
E12.P4.D42;H
E12.P4.D43;H
E12.P4.D44;H
E13;R
E13.L;C
E13.L1;R
E13.N;C
E13.N1;R
E13.N1.C;C
E13.N1.C1;H
E13.N1.C2;H
E13.N1.C3;H
E13.N1.C4;H
E13.N1.C5;H
E13.N1.C6;H
E13.P;C
E13.P1;R
E13.P1.D;C
E13.P1.D11;H
E13.P1.D12;H
E13.P1.D13;H
E13.P1.D14;H
E13.P2;R
E13.P2.D;C
E13.P2.D21;H
E13.P2.D22;H
E13.P2.D23;H
E13.P2.D24;H
E13.P3;R
E13.P3.D;C
E13.P3.D31;H
E13.P3.D32;H
E13.P3.D33;H
E13.P4;H
E13.P4.D;R
E13.P4.D34;C
E13.P4.D41;H
E13.P4.D42;H
E13.P4.D43;H
E13.P4.D44;H
E14;R
E14.L;C
E14.L0;R
E14.L1;R
E14.N;C
E14.N0;R
E14.N0.C;C
E14.N0.C1;H
E14.N0.C2;H
E14.N0.C3;H
E14.N0.C4;H
E14.N0.C5;H
E14.N0.C6;H
E14.N1;R
E14.N1.C;C
E14.N1.C1;H
E14.N1.C2;H
E14.N1.C3;H
E14.N1.C4;H
E14.N1.C5;H
E14.N1.C6;H
E14.P;C
E14.P0;R
E14.P0.D;C
E14.P0.D01;H
E14.P0.D02;H
E14.P1;R
E14.P1.D;C
E14.P1.D11;H
E14.P1.D12;H
E14.P1.D13;H
E14.P1.D14;H
E14.P2;R
E14.P2.D;C
E14.P2.D21;H
E14.P2.D22;H
E14.P2.D23;H
E14.P2.D24;H
E14.P3;R
E14.P3.D;C
E14.P3.D31;H
E14.P3.D32;H
E14.P3.D33;H
E14.P4;R
E14.P4.D;C
E14.P4.D34;H
E14.P4.D41;H
E14.P4.D42;H
E14.P4.D43;H
E14.P4.D44;H
E15;R
E15.L;C
E15.L0;R
E15.L1;R
E15.N;C
E15.N0;R
E15.N0.C;C
E15.N0.C1;H
E15.N0.C2;H
E15.N0.C3;H
E15.N0.C4;H
E15.N0.C5;H
E15.N0.C6;H
E15.N1;R
E15.N1.C;C
E15.N1.C1;H
E15.N1.C2;H
E15.N1.C3;H
E15.N1.C4;H
E15.N1.C5;H
E15.N1.C6;H
E15.P;C
E15.P0;R
E15.P0.D;C
E15.P0.D01;H
E15.P0.D02;H
E15.P1;R
E15.P1.D;C
E15.P1.D11;H
E15.P1.D12;H
E15.P1.D13;H
E15.P1.D14;H
E15.P2;R
E15.P2.D;C
E15.P2.D21;H
E15.P2.D22;H
E15.P2.D23;H
E15.P2.D24;H
E15.P3;R
E15.P3.D;C
E15.P3.D31;H
E15.P3.D32;H
E15.P3.D33;H
E15.P4;R
E15.P4.D;C
E15.P4.D34;H
E15.P4.D41;H
E15.P4.D42;H
E15.P4.D43;H
E15.P4.D44;H
E16;R
E16.L;C
E16.L0;R
E16.L1;R
E16.N;C
E16.N0;R
E16.N0.C;C
E16.N0.C1;H
E16.N0.C2;H
E16.N0.C3;H
E16.N0.C4;H
E16.N0.C5;H
E16.N0.C6;H
E16.N1;R
E16.N1.C;C
E16.N1.C1;H
E16.N1.C2;H
E16.N1.C3;H
E16.N1.C4;H
E16.N1.C5;H
E16.N1.C6;H
E16.P;C
E16.P0;R
E16.P0.D;C
E16.P0.D01;H
E16.P0.D02;H
E16.P1;R
E16.P1.D;C
E16.P1.D11;H
E16.P1.D12;H
E16.P1.D13;H
E16.P1.D14;H
E16.P2;R
E16.P2.D;C
E16.P2.D21;H
E16.P2.D22;H
E16.P2.D23;H
E16.P2.D24;H
E16.P3;R
E16.P3.D;C
E16.P3.D31;H
E16.P3.D32;H
E16.P3.D33;H
E16.P4;R
E16.P4.D;C
E16.P4.D34;H
E16.P4.D41;H
E16.P4.D42;H
E16.P4.D43;H
E16.P4.D44;H
E17;R
E17.L;C
E17.L0;R
E17.L1;R
E17.N;C
E17.N0;R
E17.N0.C;C
E17.N0.C1;H
E17.N0.C2;H
E17.N0.C3;H
E17.N0.C4;H
E17.N0.C5;H
E17.N0.C6;H
E17.N1;R
E17.N1.C;C
E17.N1.C1;H
E17.N1.C2;H
E17.N1.C3;H
E17.N1.C4;H
E17.N1.C5;H
E17.N1.C6;H
E17.P;C
E17.P0;R
E17.P0.D;C
E17.P0.D01;H
E17.P0.D02;H
E17.P1;R
E17.P1.D;C
E17.P1.D11;H
E17.P1.D12;H
E17.P1.D13;H
E17.P1.D14;H
E17.P2;R
E17.P2.D;C
E17.P2.D21;H
E17.P2.D22;H
E17.P2.D23;H
E17.P2.D24;H
E17.P3;R
E17.P3.D;C
E17.P3.D31;H
E17.P3.D32;H
E17.P3.D33;H
E17.P4;R
E17.P4.D;C
E17.P4.D34;H
E17.P4.D41;H
E17.P4.D42;H
E17.P4.D43;H
E17.P4.D44;H
E18;R
E18.L;C
E18.L1;R
E18.N;C
E18.N1;R
E18.N1.C;C
E18.N1.C1;H
E18.N1.C2;H
E18.N1.C3;H
E18.N1.C4;H
E18.N1.C5;H
E18.N1.C6;H
E18.P;C
E18.P1;R
E18.P1.D;C
E18.P1.D11;H
E18.P1.D12;H
E18.P1.D13;H
E18.P1.D14;H
E18.P2;R
E18.P2.D;C
E18.P2.D21;H
E18.P2.D22;H
E18.P2.D23;H
E18.P2.D24;H
E18.P3;R
E18.P3.D;C
E18.P3.D31;H
E18.P3.D32;H
E18.P3.D33;H
E18.P4;H
E18.P4.D;R
E18.P4.D34;C
E18.P4.D41;H
E18.P4.D42;H
E18.P4.D43;H
E18.P4.D44;H
E19;R
E19.L;C
E19.L1;R
E19.N;C
E19.N1;R
E19.N1.C;C
E19.N1.C1;H
E19.N1.C2;H
E19.N1.C3;H
E19.N1.C4;H
E19.N1.C5;H
E19.N1.C6;H
E19.P;C
E19.P1;R
E19.P1.D;C
E19.P1.D11;H
E19.P1.D12;H
E19.P1.D13;H
E19.P1.D14;H
E19.P2;R
E19.P2.D;C
E19.P2.D21;H
E19.P2.D22;H
E19.P2.D23;H
E19.P2.D24;H
E19.P3;R
E19.P3.D;C
E19.P3.D31;H
E19.P3.D32;H
E19.P3.D33;H
E19.P4;H
E19.P4.D;R
E19.P4.D34;C
E19.P4.D41;H
E19.P4.D42;H
E19.P4.D43;H
E19.P4.D44;H
E20;R
E20.L;C
E20.L1;R
E20.N;C
E20.N1;R
E20.N1.C;C
E20.N1.C1;H
E20.N1.C2;H
E20.N1.C3;H
E20.N1.C4;H
E20.N1.C5;H
E20.N1.C6;H
E20.P;C
E20.P1;R
E20.P1.D;C
E20.P1.D11;H
E20.P1.D12;H
E20.P1.D13;H
E20.P1.D14;H
E20.P2;R
E20.P2.D;C
E20.P2.D21;H
E20.P2.D22;H
E20.P2.D23;H
E20.P2.D24;H
E20.P3;R
E20.P3.D;C
E20.P3.D31;H
E20.P3.D32;H
E20.P3.D33;H
E20.P4;H
E20.P4.D;R
E20.P4.D34;C
E20.P4.D41;H
E20.P4.D42;H
E20.P4.D43;H
E20.P4.D44;H
L;H
